project;benchmark;params;javaPath;jarFile;arguments
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashSet2;NEED_TO_ENLARGE=1&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashSet2;NEED_TO_ENLARGE=2&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM;NEED_TO_ENLARGE=0&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM;NEED_TO_ENLARGE=1&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM;NEED_TO_ENLARGE=2&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM2;NEED_TO_ENLARGE=0&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM2;NEED_TO_ENLARGE=1&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOM2;NEED_TO_ENLARGE=2&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS;NEED_TO_ENLARGE=0&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS;NEED_TO_ENLARGE=1&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS;NEED_TO_ENLARGE=2&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS2;NEED_TO_ENLARGE=0&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS2;NEED_TO_ENLARGE=1&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
squidlib;squidpony.performance.DataStructureBenchmark.insertIntegerGdxOS2;NEED_TO_ENLARGE=2&SIZE=65536;PATH/TO/java;PATH/TO/squidlib.jar;-bm sample -f 5 -i 100 -wi 0 -r 1
