dcapwell/jmh-tests;1.11.2
debmalya/vigilant-tribble;1.12
debop/debop4k;
deephacks/lmdbjni;1.5
demoth/finistika;1.18
Devexperts/dlcheck;1.16
dimagi/commcare-core;1.17.3
dimitrovchi/enum-like;1.10.3
dmart28/reveno;1.21
dmitryleskov/algs4bench;1.1
dmnlukasik/java-8-concurrency-updates;1.1.1
Domo42/saga-lib;1.15
drankye/bufferalloc;0.9.1
dropbox/dropbox-sdk-java;1.12
dropwizard/dropwizard;1.21
dropwizard/metrics;1.21
dryuf/dryuf-concurrent;1.11.1
easymock/objenesis;1.21
ecki/jmhbench-cryptospeed;1.12
eclipse/eclipse-collections;1.21
eclipse/vert.x;1.19
elastic/elasticsearch;
elbek/ir;
elliottneilclark/time-test;1.11.1
enisher/polymorphic-calls-benchmark;0.9.3
ennerf/flatbuffers-java-benchmark;1.1
epickrram/benchmark;1.0
epickrram/jvm-warmup-talk;1.11.2
epickrram/lock-benchmark;1.0
epickrram/lock-contention;1.17.2
eranharel/memcached-java-clients-benchmark;1.11.3
ericmm/Woobaben;1.19
ericmoshare/uid-generator;1.21
ESAPI/esapi-java-legacy;1.21
escalate42/Javaz-Benchmarks;1.5
eseifert/gral;
eternita/frontcache;1.11.2
evanj/expire-threadlocal;1.11.2
eventsourcing/es4j;
fabienrenaud/java-json-benchmark;1.20
fabri1983/menuapp;1.21
fakemongo/fongo;1.17.4
fbaro/jpack;
federicotg/hashing;1.1
fenderstr/my-bench;0.9
fenderstr/super-bench;1.3.2
finn-no/serdes-shootout;1.9.3
FIXTradingCommunity/silverflash;1.13
foursquare/fsqio;
fpavageau/bench-filters;0.9
fpavageau/bench-simple-name;1.4.1
frankboller/watcher;1.18
gameduell/eclipselink.runtime;0.9.3
gdrouet/scanner-benchmark;0.9.5
gensym/hikesaber;
gensym/jmh-lein-example;
ghxandsky/benchmarx;0.9.3
Gilandel/utils-assertor;
Gilandel/utils-commons;
glowroot/glowroot;1.21
Gohla/persistent-graph;1.11.3
golo-lang/golo-jmh-benchmarks;1.21
google/conscrypt;1.19
gorkem/js-parser-benchmarks;1.11.2
gpanther/benchmark-arraycopy;1.11.3
gpanther/lychrel-numbers;1.10.5
gpanther/regex-libraries-benchmarks;1.11
graalvm/mx;
graphql-java/graphql-java;1.21
Graylog2/graylog-plugin-pipeline-processor;1.14.1
grpc/grpc-java;1.19
GumTreeDiff/gumtree;
guyko/weighted-lottery;1.21
gvsmirnov/java-perv;1.6.1
gvsmirnov/jmh-gradle-sample;0.9
h2oai/h2o-3;1.21
Hanmourang/Pinot;1.10.4
HansBrende/f8;1.21
haozhun/regexp-bench;1.1
hawkular/hawkular-metrics;1.17.4
hazelcast/hazelcast;1.16
HBTGmbH/java-propertyname;1.21
hhu-stups/bmoth;1.19
hibernate/hibernate-ogm;1.21
hibernate/hibernate-validator;1.20
hmarchadour/EasyCDO;1.11.2
hrldcpr/pcollections;
hsqlu/coding-lab;1.12
HubSpot/jinjava;1.21
huxi/sulky;1.17.4
iamdarksorcerer/java-jmh-benchmarks;1.0
ibodrov/bpm;1.12
identifiers/identifiers-java;1.21
igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano;
iksmada/DC-UFSCar-ES2-201601-GrupoDilema;
iloveyou416068/CookNIOServer;0.9
imglib/imglib2;1.19
immutables/samples;1.10.3
iNikem/clean;1.12
insano10/puzzlers;1.10.1
inspectIT/inspectIT;1.19
intropro/prairie;1.11.1
InvisibleTech/state;1.17.3
iok1979/test;1.11.2
ipogudin/examples;1.4.1
irobertson/invokedynamic-talk-code;1.0.1
irobertson/StringBuilderInvokeDynamicBenchmark;1.0.1
IRus/Instanceof-vs-Try-Catch;1.12
isalnikov/ACMP;1.12
ivgiuliani/cuckoohash;
ivgiuliani/jelf;1.8
j-easy/easy-batch;1.19
j-musca/kata08-conflicting-objectives;1.9.1
JabRef/jabref;
jad7/AtomicIncrementBenchmark;1.11.1
jajir/jblinktree;1.21
jasobrown/barker;1.21
Java-Courses/collections-m0e4;1.21
java8/Java8InAction;1.17.4
Javalbert/faster-than-reflection;1.0
Javalbert/sql-builder-orm;1.0
jayjaykim/jmh-sample;1.11.3
jayjaylab-benchmark/retrofitvsokhttp;1.12
jayware/entity-essentials;1.17
jchambers/java-otp;1.21
jchambers/jeospatial;1.21
jchambers/jvptree;1.17.3
JCTools/JCTools;1.21
jenetics/jenetics;1.20
jenetics/prngine;1.17.5
jerrinot/FieldMagic;1.3.4
JervenBolleman/java-benchmarks;1.12
JetBrains/xodus;1.19
JetBrains-Research/viktor;
jfaleiro/keyvalue;1.3.2
jgrapht/jgrapht;1.21
jharting/weld-collections-benchmark;1.1.1
jhawo82882/MDP3Sample;
Jiri-Kremser/inventory-benchmark;1.4.2
jjenkov/iap-tools-java-benchmarks;1.10.5
jkirsch/spex;1.18
jmiettinen/jradixheap;1.11
jmnarloch/trie;
jnordwick/zerog-grisu;
johnlcox/motif;1.9.3
jon-hanson/funcj;1.21
josegom/training;1.10.3
joyent/java-http-signature;1.21
joyent/java-manta;1.21
jpaw/bonaparte-java;
jpaw/fixedpoint;
jpaw/jdp;
jpaw/jpaw;
jpaw/jpaw8;
json-iterator/java;1.20
jsubercaze/simhashdb;1.1.1
jsurfer/JsonSurfer;1.10.2
jthelin/orbit;1.12
junkdog/artemis-odb;1.1.1
junkdog/entity-system-benchmarks;1.11.3
jvcaquino/DC-UFSCar-ES2-201601-Grupo6;
jvz/nio-logger;1.17.5
kaazing/gateway;1.14
karlicoss/autohash;
kaustubh-walokar/grpc-poll-service;0.9
kawasima/copyfile-benchmark;1.7.1
kennyledet/Algorithm-Implementations;
kevoree-modeling/benchmark;1.13
kgilmer/XMLObjectIterable;
kickass-jmh/riviera;1.18
kiegroup/kie-benchmarks;1.21
kno10/reversegeocode;1.11.2
komiya-atsushi/fast-rng-java;
konik-io/itext-carriage;
konik-io/konik;1.1
konik-io/pdfbox-carriage;
konmik/collection-benchmark;1.18
Konstantin8105/Triangulation;1.8
kpavlov/fixio;1.20
krystian-k/java-feature-bench;1.19
kvnxiao/kommandant;1.17.5
kvr000/zbynek-concurrent-pof;1.11.1
kvr000/zbynek-java-exp;1.11.1
Lawrence-zxc/springStarter;1.11.2
leeyikjiun/blog;1.11
Leibnizhu/spring-boot-starter-netty;1.19
lemire/microbenchmarks;1.4
Lessnic/CAISS;1.12
lettuce-io/lettuce-core;1.21
lexas2509/perf;1.9.2
lhyqie/rtree;1.2
line/armeria;
LiveMyKarma/Finalizer;1.13
lmdbjava/benchmarks;1.13
loxal/template;1.17.4
lucwillems/JavaLinuxNet;1.2
m0wfo/false-sharing-demo;1.11.3
magneticflux-/gridsim;1.19
manhcuongkd/blynk-server;1.13
manoelcampos/cloudsim-plus;1.17.2
marcelmay/hadoop-hdfs-fsimage-exporter;1.21
marcelodeolive1ra/DC-UFSCar-ES2-201601-GrupoHelloWorld;
MaridProject/typedmap;1.19
marklogic/marklogic-jena;1.3.2
marklogic/marklogic-sesame;1.3.2
marschall/charsequences;1.21
marschall/line-parser;1.21
marschall/mini-commons;1.19
marschall/sets;1.19
marsorp/blog;
Mart-Bogdan/vertx-hello;
MartinanderssonDotcom/money-profiling;1.12
matthew-dailey/java-playaround;1.12
maxdemarzi/ChronicleGraph;1.17.3
maxdemarzi/graph_processing;1.10.5
maxdemarzi/GuancialeDB;1.17.3
maxdemarzi/neo_dislikes;1.6.1
maxifier/mxcache;1.21
maximenajim/nashorn-react-jmh-microbenchmark;1.10.4
mbosecke/pebble-benchmark;1.6.1
mbosecke/template-benchmark;1.11.2
mdhorton/experiments;
meghana0507/grpc-java-poll;0.9
melix/jmh-gradle-plugin;
Mercateo/json-schema;1.21
Mercateo/reflection;1.20
Mercateo/rest-schemagen;1.20
MeteoGroup/jbrotli;1.11.2
michaelhixson/jmh-benchmark-listof;1.11.2
michaljonko/blog-examples;1.11.3
micrometer-metrics/micrometer;
mikeb01/scratch;1.9.3
mikvor/hashmapTest;1.19
mini2Dx/mini2Dx;
mjeffrey/log-sanitizer;1.21
mkosem/stringsplitting;
mkraemerx/algorithm-art;1.9.3
Mojang/blixtser;1.1.1
mono-plane/presto;0.7.1
MorganBauer/java-experiments;1.9.3
mourao666/cassandra-sim;
moves-rwth/attestor-examples;1.19
mox601/mybatis-pool-jmh;1.1.1
mp911de/logstash-gelf;1.21
msteindorfer/criterion;1.11
msteindorfer/oopsla15-artifact;1.11
mweirauch/micrometer-jvm-extras;1.21
myzhan/locust4j;1.21
n1analytics/javallier;
Nawy/UnsafeCollections;1.18
neo4j-contrib/neo4j-graph-algorithms;1.21
neo4j-contrib/neo4j-jdbc;1.19
neowu/core-ng-demo-project;1.21
nesteant/java-tests;1.12
Netflix/Hystrix;1.15
Netflix/servo;
Netflix/spectator;1.19
netty/netty;1.21
netzwerg/paleo;1.19
nextopcn/lite-pool;1.17.4
nickman/json-benchmark;1.11.2
nickman/UnsafeAdapter;0.9.3
nicoulaj/jmh-utils;1.21
nielsbasjes/yauaa;1.21
nikarh/equals-builder;1.14
nithril/packedobject-test;1.9.2
nithril/sandbox-query-benchmark-jooq-hibernate-jdbc;1.11.1
nitram509/intellij-idea-plugin-serializer-toolbox;
nitsanw/jmh-samples;1.8
nitsanw/safepoint-experiments;1.11.3
nobeh/jmh-forked-main-threads;1.5
nom-tam-fits/nom-tam-fits;1.11.2
notsyncing/lightfur;1.15
npetzall/persistent-queue;1.0
numenta/htm.java;1.5.2
oblac/jodd;1.21
octabase/fnr-java;1.11.3
opendaylight/controller;1.21
opendaylight/yangtools;1.21
OpenFeign/feign;1.20
OpenHFT/Chronicle-Algorithms;1.10.4
OpenHFT/Chronicle-Logger;1.0
OpenHFT/Chronicle-Wire;
OpenHFT/jvm-micro-benchmarks;1.10.3
openrq-team/OpenRQ;
openzipkin/zipkin-reporter-java;1.21
openzipkin/zipkin;1.21
optimatika/ojAlgo-linear-algebra-benchmark;1.21
optimizely/java-sdk;1.12
oracle/graal;
orfjackal/cqrs-hotel;1.21
outbrain/prometheus-client;0.9
PacktPublishing/Mastering-Mesos;1.11.3
palantir/atlasdb;1.13
paninij/paninij;1.15
pantsbuild/pants;
paritytrading/parity;1.19
paritytrading/philadelphia;1.21
patrickfav/bytes-java;1.21
pdemanget/examples;1.12
peptos/traffic-shm;1.15
person-lee/nlp;1.0
peterszatmary/jmh-benchmark-demo;1.17.5
PhantomThief/more-lambdas-java;1.21
PhantomThief/scope;1.21
PhantomThief/simple-failover-java;1.21
PhillHenry/palgorithms;1.11.3
pietermartin/sqlg;1.20
pinterest/jbender;
Pitt112/night-hawk;1.17.4
planetsizebrain/stringbundler-tests;1.8
platan/idea-gradle-dependencies-formatter;
plokhotnyuk/scala-vs-java;
pombreda/btrace-hg;0.9.2
prasanthj/bloomfilter;1.21
prasanthj/hasher;1.2
presidentio/test-data-generator;1.6.3
prestodb/presto;
prestosql/presto;
promeG/TinyPinyin;1.3.3
prometheus/client_java;1.3.2
protobufel/multikeymapjava;1.19
protobufel/protobuf-el;1.1.1
protostuff/protostuff;1.6.1
puniverse/quasar;1.21
Querables/querables-java;1.17
rabbitmq/rabbitmq-perf-test;1.21
rafamonteiro/SerializationProtocolsBenchMark;1.10.3
raphw/byte-buddy;1.16
raviprak/JAVABench;1.19
raydac/java-binary-block-parser;1.21
ReactiveX/RxGroovy;
ReactiveX/RxJava;
ReactiveX/RxJavaParallel;0.9
reactor/reactive-streams-commons;1.11
reactor/reactor-core;1.21
reaktivity/nukleus-tcp.java;1.17.4
reaktivity/nukleus.java;1.12
real-logic/benchmarks;1.21
real-logic/simple-binary-encoding;1.21
reific/braid;1.3.4
relayrides/pushy;1.21
ReneNeubert/gradle-java-template;
renoth/texxxxas;0.8
requery/requery;1.12
rerorero/oleoleflake;1.19
resilience4j/resilience4j;
restfb/restfb-benchmark;1.6
rgorodischer/microbenchmarks;0.9.1
ricdong/presto;
RichardWarburton/java-final-benchmark;0.9
rkraneis/rtree;1.2
rmpestano/cukedoctor;1.11.3
