DaanVanYperen/artemis-odb-contrib;1.7;1.7
dafei1288/max;1.8;1.8
danielnorberg/rut;9;9
DanielThomas/spring-boot-starter-netty;;
darwin-evolution/darwin;1.7;1.7
DataArt/CalculationEngine;1.8;1.8
daten-io/faster;;JavaVersion.VERSION_1_8
davidhagar-zz/java-microbenchmarks;1.7;1.7
davidmoten/audio-recognition;1.6;
davidmoten/geo;1.6;
davidmoten/hilbert-curve;1.8;
davidmoten/kool;1.8;
davidmoten/rtree-3d;1.6;
davidmoten/rtree;1.6;
davidmoten/rxjava-extras;1.6;
davidmoten/rxjava-jdbc;1.7;
davidmoten/rxjava2-extras;1.6;
davidmoten/rxjava2-http;1.8;
davidmoten/word-wrap;1.8;
dcapwell/collections;1.8;1.8
dcapwell/java-file-operations;;
dcapwell/jmh-tests;;
debmalya/vigilant-tribble;1.8;1.8
debop/debop4k;JavaVersion.VERSION_1_8;JavaVersion.VERSION_1_8
deephacks/lmdbjni;1.7;1.7
demoth/finistika;1.8;1.8
Devexperts/dlcheck;1.8;1.8
dimagi/commcare-core;;1.8
dimitrovchi/enum-like;1.7;1.7
dmart28/reveno;;
dmitryleskov/algs4bench;1.7;1.7
dmnlukasik/java-8-concurrency-updates;1.8;1.8
Domo42/saga-lib;1.8;1.8
drankye/bufferalloc;1.7;1.7
dropbox/dropbox-sdk-java;JavaVersion.VERSION_1_6;JavaVersion.VERSION_1_6
dropwizard/dropwizard;1.8;1.8
dropwizard/metrics;1.8;1.8
dryuf/dryuf-concurrent;;
easymock/objenesis;1.8;
ecki/jmhbench-cryptospeed;1.8;
eclipse/eclipse-collections;1.8;1.8
eclipse/vert.x;;
elastic/elasticsearch;12;12
elbek/ir;;
elliottneilclark/time-test;1.8;
enisher/polymorphic-calls-benchmark;1.6;1.6
ennerf/flatbuffers-java-benchmark;1.6;
epickrram/benchmark;1.6;1.6
epickrram/jvm-warmup-talk;1.8;1.8
epickrram/lock-benchmark;1.6;1.6
epickrram/lock-contention;1.8;1.8
eranharel/memcached-java-clients-benchmark;1.8;1.8
ericmm/Woobaben;1.8;1.8
ericmoshare/uid-generator;1.8;1.8
ESAPI/esapi-java-legacy;1.7;1.7
escalate42/Javaz-Benchmarks;1.8;
eseifert/gral;JavaVersion.VERSION_1_7;JavaVersion.VERSION_1_7
eternita/frontcache;1.7;1.7
evanj/expire-threadlocal;1.7;
eventsourcing/es4j;;
fabienrenaud/java-json-benchmark;1.8;1.8
fabri1983/menuapp;1.6;1.6
fakemongo/fongo;1.6;1.6
fbaro/jpack;;1.7
federicotg/hashing;1.8;1.8
fenderstr/my-bench;;JavaVersion.VERSION_1_7
fenderstr/super-bench;1.7;1.7
finn-no/serdes-shootout;;
FIXTradingCommunity/silverflash;1.8;1.8
foursquare/fsqio;;
fpavageau/bench-filters;1.6;1.6
fpavageau/bench-simple-name;1.7;
frankboller/watcher;1.8;1.8
gameduell/eclipselink.runtime;1.8;1.8
gdrouet/scanner-benchmark;;
gensym/hikesaber;;
gensym/jmh-lein-example;;
ghxandsky/benchmarx;1.6;1.6
Gilandel/utils-assertor;;
Gilandel/utils-commons;;
glowroot/glowroot;1.6;1.6
Gohla/persistent-graph;1.7;1.7
golo-lang/golo-jmh-benchmarks;1.8;1.8
google/conscrypt;JavaVersion.VERSION_1_7;JavaVersion.VERSION_1_7
gorkem/js-parser-benchmarks;1.6;
gpanther/benchmark-arraycopy;1.8;
gpanther/lychrel-numbers;1.8;
gpanther/regex-libraries-benchmarks;1.8;
graalvm/mx;;
graphql-java/graphql-java;1.8;1.8
Graylog2/graylog-plugin-pipeline-processor;1.8;1.8
grpc/grpc-java;1.7;1.7
GumTreeDiff/gumtree;1.8;1.8
guyko/weighted-lottery;;
gvsmirnov/java-perv;;JavaVersion.VERSION_1_8
gvsmirnov/jmh-gradle-sample;;JavaVersion.VERSION_1_8
h2oai/h2o-3;1.7;1.8
Hanmourang/Pinot;1.8;1.8
HansBrende/f8;1.8;1.8
haozhun/regexp-bench;1.8;
hawkular/hawkular-metrics;1.8;
hazelcast/hazelcast;9;9
HBTGmbH/java-propertyname;1.8;1.8
hhu-stups/bmoth;;
hibernate/hibernate-ogm;1.8;1.8
hibernate/hibernate-validator;1.8;1.8
hmarchadour/EasyCDO;1.6;1.6
hrldcpr/pcollections;1.6;1.6
hsqlu/coding-lab;1.8;1.8
HubSpot/jinjava;1.8;
huxi/sulky;1.6;1.6
iamdarksorcerer/java-jmh-benchmarks;1.6;
ibodrov/bpm;1.8;1.8
identifiers/identifiers-java;;
igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano;1.8;1.8
iksmada/DC-UFSCar-ES2-201601-GrupoDilema;1.8;1.8
iloveyou416068/CookNIOServer;1.7;1.7
imglib/imglib2;;
immutables/samples;1.8;1.8
iNikem/clean;;1.8
insano10/puzzlers;1.8;1.8
inspectIT/inspectIT;1.8;1.8
intropro/prairie;;
InvisibleTech/state;;
iok1979/test;1.8;1.8
ipogudin/examples;1.8;1.8
irobertson/invokedynamic-talk-code;1.8;1.8
irobertson/StringBuilderInvokeDynamicBenchmark;1.8;1.8
IRus/Instanceof-vs-Try-Catch;;
isalnikov/ACMP;1.8;1.8
ivgiuliani/cuckoohash;1.8;1.8
ivgiuliani/jelf;;
j-easy/easy-batch;1.7;1.7
j-musca/kata08-conflicting-objectives;1.8;1.8
JabRef/jabref;1.8;1.8
